Name;Email;NIM;Prodi;Fakultas;Angkatan;UTS;UAS;Status Mahasiswa
Ahmad Hamid;20102122@ittelkom-pwt.ac.id;IF-20102122;Teknik Informatika;Informatika;20;95;80;Aktif
Purnama Hardi Saputra;20102123@ittelkom-pwt.ac.id;IF-20102123;Teknik Informatika;Informatika;20;100;95;Aktif
Yanto Maskuy;201021234@ittelkom-pwt.ac.id;IF-20102124;Teknik Informatika;Informatika;20;90;85;Aktif
Rizky Rahma;20102125@ittelkom-pwt.ac.id;IF-20102125;Teknik Informatika;Informatika;20;90;75;Pasif
Fauzan Barus;21231242@ittelkom-pwt.ac.id;SI-21231242;Sistem Informasi;Informatika;21;80;80;Aktif
Lionel Warsito;21231245@ittelkom-pwt.ac.id;SI-21231245;Sistem Informasi;Informatika;21;90;90;Pasif
Hilal Sofyan;19321231@ittelkom-pwt.ac.id;TT-19321231;Teknik Telekomunikasi;Telekomunikasi;19;85;80;Aktif
Dwi Rakyan;19321237@ittelkom-pwt.ac.id;TT-19321231;Teknik Telekomunikasi;Telekomunikasi;19;90;50;Pasif
Ini Contoh;20102128@ittelkom-pwt.ac.id;20102128;Sistem Informasi;Informatika;22;90;75;Aktif
Ini Contoh 2;19321239@ittelkom-pwt.ac.id;19321239;Sistem Informasi;Informatika;20;75;80;Pasif
